attacker,victim,weapon,lifetime
spexy-,7oX1C,knife_butterfly,10.109375
OneLion,CaH9_6pa6yc,knife_widowmaker,10.46875
Cl34v3rs,Templl,knife_butterfly,11.84375
spexy-,Raynare-,knife_butterfly,12.546875
OneLion,nibito,knife_widowmaker,13.0
Templl,Cl34v3rs,elite,25.234375
farmaG,CaH9_6pa6yc,glock,25.375
nibito,hayanh-,usp_silencer,30.453125
OneLion,nibito,glock,34.796875
Templl,OneLion,elite,37.59375
7oX1C,farmaG,usp_silencer,42.3125
Templl,spexy-,elite,50.125
OneLion,Templl,galilar,65.203125
nibito,spexy-,mp9,66.25
farmaG,nibito,galilar,68.0
CaH9_6pa6yc,OneLion,m4a1_silencer,81.453125
CaH9_6pa6yc,farmaG,m4a1_silencer,95.03125
7oX1C,Cl34v3rs,m4a1,98.8125
hayanh-,7oX1C,galilar,99.140625
Raynare-,hayanh-,mp9,100.796875
7oX1C,farmaG,m4a1,24.75
7oX1C,Cl34v3rs,m4a1,25.734375
Templl,OneLion,aug,32.046875
Templl,hayanh-,aug,35.859375
CaH9_6pa6yc,spexy-,m4a1_silencer,44.4375
7oX1C,farmaG,m4a1,22.953125
hayanh-,nibito,tec9,28.859375
Templl,Cl34v3rs,aug,36.890625
Templl,hayanh-,aug,37.390625
CaH9_6pa6yc,OneLion,m4a1_silencer,45.09375
7oX1C,spexy-,m4a1,83.546875
Templl,OneLion,aug,16.5625
Cl34v3rs,nibito,ak47,17.140625
7oX1C,Cl34v3rs,m4a1,27.015625
hayanh-,Templl,ak47,52.09375
7oX1C,hayanh-,m4a1,53.359375
spexy-,7oX1C,ak47,56.0625
farmaG,Raynare-,awp,69.28125
CaH9_6pa6yc,farmaG,tec9,75.734375
spexy-,CaH9_6pa6yc,ak47,98.921875
CaH9_6pa6yc,hayanh-,awp,23.203125
Cl34v3rs,Templl,ak47,38.75
nibito,spexy-,m4a1_silencer,41.171875
OneLion,nibito,ak47,42.5625
OneLion,Raynare-,ak47,49.453125
